publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Revue internationale de photolittérature		2606-6785	2017						http://phlit.org/press/?page_id=2570		26066785		fulltext		PHLIT	serial								F	225263823
Revista Técnica de la Facultad de Ingeniería (En línea)	0254-0770	2477-9377	2015						https://www.produccioncientificaluz.org/index.php/tecnica/issue/view/3725		24779377		fulltext		Universidad del Zulia / Facultad de Ingeniería	serial								F	194779629
Scientific Journal of the Faculty of Tourism and Hotels, Alexandria University (Online) (The )	2314-7024	2682-2180	2019						https://thalexu.journals.ekb.eg		26822180		fulltext		Alexandria University. Faculty of Tourism and Hotels	serial								F	236839462
Selcuk journal of agriculture and food sciences (Online)		2458-8377	2015						https://dergipark.org.tr/tr/pub/selcukjafsci		24588377		fulltext	ISSN of preceding title : 1309-0550	Selçuk üniversitesi ziraat fakültesi	serial								F	198428014
Research culture and science books		2785-115X	2021						https://www.rcasb.eu		2785115X		fulltext		Gruppo del colore - Associazione italiana del colore	serial								F	257561501
Revue roumaine d'études francophones (Online)	2065-8087	2392-6007	2009						http://www.editurajunimea.ro/revue-roumaine-detudes-francophones/		23926007		fulltext		Junimea	serial								F	169652947
Social clinical pharmacy Indonesia journal (Online)		2502-8413	2016						http://journal.uta45jakarta.ac.id/index.php/SCPIJ		25028413		fulltext		Fakultas Farmasi Universitas 17 Agustus 1945 Jakarta	serial								F	192947052
Social inquiry into well-being (Vilnius. Online)		2783-5502	2021						https://www3.mruni.eu/ojs/social-work		27835502		fulltext	ISSN of preceding title : 2029-2775	Mykolo Romerio universitetas	serial								F	255800983
Revista Turismo e Identidad.		2718-8205	2020						https://revistas.uncu.edu.ar/ojs3/index.php/turismoeindentidad/index		27188205		fulltext		Instituto de Investigaciones en Turismo e Identidad, Departamento de Turismo, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo	serial								F	256848629
Vestigare (Palotina)		3085-8046	2025						https://revistas.ufpr.br/vestigare/index		30858046		fulltext		Universidade Federal do Paraná (UFPR)	serial								F	284833991
Tendencias sociales		2603-8366	2018						https://revistas.uned.es/index.php/Tendencias/index		26038366		fulltext		Departamento de Sociología III (Tendencias Sociales) de la Facultad de Ciencias Políticas y Sociología de la UNED	serial								F	225506084
Trends in horticulture		2578-1812	2018						http://systems.enpress-publisher.com/index.php/TH		25781812		fulltext		EnPress Publisher, LLC	serial								F	226898814
Sìmejna medicina. Êvropejsʹkì praktiki (Online)	2786-720X	2786-7218	2022						http://family-medicine.com.ua/index		27867218		fulltext		Profesìonal-Ìvent	serial								F	268034710
Transportation development research		2759-0429	2023						https://ojs.bilpub.com/index.php/tdr		27590429		fulltext		Japan Bilingual Publishing	serial								F	276913205
Swiss journal of geosciences (Online)	1661-8726	1661-8734	2007						https://link.springer.com/journal/15		16618734		fulltext	ISSN of preceding title : 1420-9128	Pensoft Publishers	serial								F	121166465
Trapsila : Jurnal Pendidikan Dasar (online Universitas Wijaya Kusuma Surabaya)	2685-7642	2685-8207	2019						https://journal.uwks.ac.id/index.php/trapsila		26858207		fulltext		Universitas Wijaya Kusuma Surabaya	serial								F	241909619
Values (Denpasar)		2721-6810	2019						http://e-journal.unmas.ac.id/index.php/value		27216810		fulltext		Prodi Manajemen Fakultas Ekonomi dan Bisnis Universitas Mahasaraswati Denpasar	serial								F	24430582X
UCSD molecule pages		2328-8124	2012						http://escholarship.org/uc/molecule_pages		23288124		fulltext	ISSN of preceding title : 1477-5921	University of California, San Diego	serial								F	170090086
̒Ulūm-i dāmī (Online)	2588-6436	2588-6428	2017						http://asj.areo.ir/		25886428		fulltext		Muassisah-i taḥqīqāt-i ̒ulūm-i dāmī-i kishvar	serial								F	229255876
View (Beijing, China)	2688-3988	2688-268X	2020						https://onlinelibrary.wiley.com/journal/2688268x		2688268X		fulltext		John Wiley & Sons Inc., Wiley Beijing Office	serial								F	24530276X
University heart journal (Online)	1998-9261	1998-927X	2008						http://www.banglajol.info/index.php/UHJ		1998927X		fulltext		Department of Cardiology, University Cardiac Center, Bangabandhu Sheikh Mujib Medical University	serial								F	123881781
Transport Problems (Online)	1896-0596	2300-861X	2007						http://transportproblems.polsl.pl/en/default.aspx		2300861X		fulltext		Wydawnictwo Politechniki Ślaskiej	serial								F	182012085
̒Ulūm-i insānī va Islamī dar hizārah-i sivvum		2717-4441	2020						http://www.hijournal.ir/fa/		27174441		fulltext		Amīr Pūr Nāṣirānī	serial								F	253916682
Vis-à-vis (Clermont-Ferrand)		2650-2739	2018						https://visavis.hypotheses.org/		26502739		fulltext		Vis-à-vis	serial								F	235219029
Uluslararası sanat tasarım ve eğitim dergisi (Online)		2979-9775	2022						https://dergipark.org.tr/tr/pub/ustad		29799775		fulltext		Bursa Uludağ Üniversitesi	serial								F	269313176
Uluslararası sosyal ve ekonomik çalışmalar dergisi : (Online)		2757-6582	2020						https://dergipark.org.tr/tr/pub/gsijses		27576582		fulltext		KÜTAHYA UYGULAMALI BİLİMLER FAKÜLTESİ	serial								F	279753306
Treballs de la Societat Catalana de Geografía (Internet)	1133-2190	2014-0037	1984						http://www.raco.cat/index.php/TreballsSCGeografia		20140037		fulltext		Societat Catalana de Geografía	serial								F	164365125
Vestigium. (Ciudad Autónoma de Buenos Aires. En linea)		3008-9379	2024						https://p3.usal.edu.ar/index.php/vestigium		30089379		fulltext		Vicerrectorado de Investigación y Desarrollo, Universidad del Salvador	serial								F	281906785
taՙlīmiyaẗ (Al-ğazā'ir. En ligne) (Al-)	2800-1303	3088-8905	2026						https://asjp.cerist.dz/en/PresentationRevue/1024		30888905		fulltext		Maՙhad al-waṭanī li-l-baḥṯ fī al-tarbiyaẗ	serial								F	
Turkish journal of biodiversity (Online)		2667-4386	2019						http://turkbiod.artvin.edu.tr/		26674386		fulltext		Artvin Çoruh Üniversitesi Ali Nihat Gökyiğit Botanik Bahçesi Uygulama ve Araştırma Merkezi	serial								F	240614550
WeberWorldCafé (Bonn)		2199-2207	2014						http://wwc.hypotheses.org/		21992207		fulltext		Max-Weber-Stiftung - Deutsche Geisteswissenschaftliche Institute im Ausland	serial								F	180354124
Travesías en clásicas		3072-7103	2024						http://revistas.filo.uba.ar/index.php/travesias/index		30727103		fulltext		Departamento de Lenguas y Literaturas Clásicas; Facultad de Filosofía y Letras; Universidad de Buenos Aires	serial								F	286183587
US-Vietnam review		2693-8413	2020						https://usvietnam.uoregon.edu/en/us-vietnam-review/		26938413		fulltext		University of Oregon, US-Vietnam Research Center	serial								F	254898254
Tecing (Estado de México)		3122-4008	2025						https://www.tecing.org/index.php/tecing/es		31224008		fulltext		Salas García, Javier	serial								F	296181463
Theory and building practice (Online)	2707-1057	3083-7553	2019						https://science.lpnu.ua/uk/jtbp		30837553		fulltext		Lviv Polytechnic national university	serial								F	
UNF digital commons		2572-5874	2011						http://digitalcommons.unf.edu/		25725874		fulltext		Thomas G. Carpenter Library, University of North Florida	serial								F	200794515
Vestnik pridnestrovskogo universiteta: Gumanitarnye nauki (Online)	1857-1158	1857-1395	2019			2025			https://spsu.ru/science/nauchno-izdatelskaya-deyatelnost/vestnik-pgu		18571395		fulltext		US Transnistria	serial								F	237767678
Uluslararası Düzce eğitim bilimleri dergisi (Online)		2980-2881	2023						https://dergipark.org.tr/tr/pub/ijdes/board		29802881		fulltext		DÜZCE ÜNİVERSİTESİ	serial								F	272950947
Logics		2813-0405	2023						http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-2468268		28130405		fulltext		MDPI	serial								F	26353989X
Mokslo taikomieji tyrimai (Online)		3030-1823	2024						https://ojs.kaunokolegija.lt/		30301823		fulltext	ISSN of preceding title : 2335-8904	Kauno kolegijos Reklamos ir medijų centras	serial								F	282440496
Nihon Zoketsu, Men'eki Saibo Ryoho Gakkai zasshi		2436-455X	2021						https://www.jstage.jst.go.jp/browse/tct/list/-char/ja		2436455X		fulltext	ISSN of preceding title : 2186-5612	Nihon zoketsu, men'eki saibo ryoho gakkai = Japanese Society for Transplantation and Cellular Therapy	serial								F	276435982
Neue Zeitschrift für Musik (1955. Online)	0028-3509	2976-1956	1955			1971			http://www.bibliothek.uni-regensburg.de/ezeit/?2483859		29761956		fulltext		Schott	serial								F	276056272
Komunalʹne gospodarstvo mìst (Online)	2522-1809	2522-1817	2010			2025			http://khg.kname.edu.ua/index.php/khg		25221817		fulltext		Harkìvsʹkij nacìonalʹnij unìversitet ìmenì O.M. Beketova	serial								F	204277086
Musicology Today (Warsaw. Online)	1734-1663	2353-5733	2013						http://www.degruyter.com/view/j/muso		23535733		fulltext		De Gruyter Open	serial								F	180273922
Muṭāli̒āt-i jāmi̒ah'shināsī (Online)	2322-5661	2476-7034	2010						http://jss.iaut.ac.ir		24767034		fulltext		Dānishgāh-i āzād-i islāmī, vāḥid-i Tabrīz	serial								F	195683501
Nizip Eğitim Fakültesi dergisi (Online)		3062-0104	2024						https://dergipark.org.tr/tr/pub/nefad		30620104		fulltext		Gaziantep Üniversitesi	serial								F	281910294
Nashriyyah-i pizhūhish'hā-yi za̒farān (Online)	2345-3869	2383-1316	2014						https://jsr.birjand.ac.ir/		23831316		fulltext		Anjuman-i ̒ulūm-i zirā̒at va iṣlāḥ-i nabātāt-i Īrān	serial								F	180787748
Mudīriyyat-i farhang-i sāzmānī (Online)	2423-6942	2423-6934	2015						https://jomc.ut.ac.ir/		24236934		fulltext		Dānishgāh-i Tihrān, Pardīs-i Fārābī	serial								F	189201967
Mudīriyyat-i ta̒ālī-i āmūzishī		3060-768X	2024						https://sanad.iau.ir/journal/jiem		3060768X		fulltext		Dānishgāh-i āzād-i Islāmī, vāḥid-i Qum	serial								F	282441999
Mitteilungen der DMV (Internet)	0947-4471	2199-594X							http://www.degruyter.com/view/j/dmvm		2199594X		fulltext		de Gruyter	serial								F	180530348
Nu'āvarīhā-yi fanāvarī-i iṭṭilā̒āt va irṭibāṭāt		2980-8227	2019						https://ait.ihu.ac.ir/		29808227		fulltext		Dānishgāh-i jāmi̒-i Īmām Ḥusiyn	serial								F	267762356
Norsk medietidsskrift (Online)	0804-8452	0805-9535	1994						https://www.scup.com/journal/nmt		08059535		fulltext		Scandinavian University Press	serial								F	040621332
Muṭāli̒āt-i taṭbīqī-i ḥuqūq-i kishvarhā-yi Islāmī (Online)	2980-8006	2980-8014	2022						http://lcs.ilam.ac.ir/		29808014		fulltext		Dānishgāh-i Īlām	serial								F	267762186
Ockenheimer Geschichte(n)		2198-848X	2013						http://ockenheim.hypotheses.org/		2198848X		fulltext		P. Tabarelli	serial								F	177940670
Muzične mistectvo v osvìtologìčnomu diskursì (Online)	2518-766X	3041-1513	2017						https://mmod.kubg.edu.ua/index.php/journal		30411513		fulltext		Kiïvsʹkij stoličnij unìversitet ìmenì Borisa Grìnčenka	serial								F	27881042X
Muzealnictwo Wojskowe (Online)	0541-475X	3072-1997	1959						https://mw.muzeumwp.pl/ojs		30721997		fulltext		Muzeum Wojska Polskiego w Warszawie	serial								F	292910827
Nordisk judaistik (Online)	0348-1646	2343-4929	2016						http://ojs.abo.fi/index.php/nj		23434929		fulltext		Donner Institute	serial								F	197212107
Notas CPAU (En línea)		2591-3484	2010						https://www.revistanotas.org/revistas		25913484		fulltext		Consejo Profesional de Arquitectura y Urbanismo	serial								F	225262053
Muhandisī-i mukhābirāt-i junūb		2980-9231	2023						https://jce.bushehr.iau.ir/		29809231		fulltext	ISSN of preceding title : 2676-7465	Dānishgāh-i āzād-i Īslāmī, vāḥid-i Būshihr	serial								F	270216936
Korporativnye finansy		2073-0438	2007						https://cfjournal.hse.ru		20730438		fulltext		Gosudarstvennyj universitet-Vysšaâ škola èkonomiki	serial								F	189154519
Muş Alparslan üniversitesi sağlık bilimleri dergisi (Online)		2792-0925	2021						https://dergipark.org.tr/tr/pub/maunsbd		27920925		fulltext		Muş Alparslan Üniversitesi	serial								F	263428095
Nauka Krasnoârʹâ (Online)	2070-7568	2782-3261	2016			2025			http://journal-s.org/index.php/nk/issue/archive		27823261		fulltext		Naučno-innovacionnyj centr	serial								F	260054496
Ningen kyoiku no tankyu (Online)	0913-0438	2758-2752	2021						https://www.jstage.jst.go.jp/browse/jsspf/list/-char/ja		27582752		fulltext		Nihon pesutarocchi, fureberu gakkai = Japan Society for the Study of Pestalozzi and Fröbel	serial								F	267190492
Nigerian Journal of Technological Development (The )		2437-2110	2015						https://www.unilorin.edu.ng/ejournals/index.php/njtd/index		24372110		fulltext		Faculty of Engineering and Technology	serial								F	18856733X
Muhasebe ve finans uygulamaları dergisi (Online)		3023-7351	2024						https://sites.google.com/dpu.edu.tr/mufuy/ana-sayfa		30237351		fulltext		Kütahya Dumlupınar Üniversitesi	serial								F	279678045
Műszaki Tudományos Közlemények (Online)	2393-1280	2668-1390	2014						http://www.eme.ro/publication-hu/mtk/mtk-main.htm		26681390		fulltext	ISSN of preceding title : 2668-3792	Erdélyi Múzeum-Egyesület	serial								F	248716549
Nogaku opun akusesu janaru		2436-3987	2021						https://www.jstage.jst.go.jp/browse/noaj/list/-char/ja		24363987		fulltext		Nogaku opun akusesu kyokai = Nogaku Open Access Journal Association	serial								F	276435931
Questions constitutionnelles		3001-655X	2023						https://questions-constitutionnelles.fr/		3001655X		fulltext		Questions constitutionnelles	serial								F	273356089
Proceeding International Conference and Exhibition on Sciences and Technology		2654-5136	2018						http://icest.undana.ac.id		26545136		fulltext		Fakultas Sains dan Teknik Universitas Nusa Cendana	serial								F	
Przegląd Prawno-Ekonomiczny (Online)	1898-2166	2720-6734	2019						https://czasopisma.kul.pl/index.php/ppe		27206734		fulltext		Katolicki Uniwersytet Lubelski Jana Pawła II	serial								F	263948633
Przegląd Zachodniopomorski (Online)	0552-4245	2353-3021	2015						http://wnus.edu.pl/pzp/pl		23533021		fulltext		Wydawnictwo Naukowe Uniwersytetu Szczecińskiego	serial								F	249194244
Nashingu kea konekuto janaru		2759-6095	2024						https://www.jstage.jst.go.jp/browse/nccj/list/-char/ja		27596095		fulltext		Tekikkusu = Tekix	serial								F	280401566
Power, Conflict and Democracy Journal (Online)	2085-0433	2085-0441	2009						https://jurnal.ugm.ac.id/pcd		20850441		fulltext		PSSAT Universitas Gadjah Mada	serial								F	131758500
(Online)Mabānī-i naẓarī-i hunarhā-yi tajassumī	2538-5666	2676-6701	2017						http://jtpva.alzahra.ac.ir/		26766701		fulltext		Anjuman-i ̒ilmī-i hunarhā-yi tajassumī-i Īrān	serial								F	24061626X
Radiološke tehnologije (Online)	2232-8726	2637-3297	2019						https://www.uimr.ba/journal/index.php/rt		26373297		fulltext		Udruženje inžinjera medicinske radiologije u Federaciji Bosne i Hercegovine	serial								F	241014662
Rendiconti. Classe di lettere e scienze morali e storiche (Istituto lombardo Accademia di scienze e lettere. Online)	1124-1667	2384-9150	2012						http://www.ilasl.org/index.php/Lettere		23849150		fulltext		Pagepress	serial								F	180541560
Rapid reviews COVID-19		2692-4072	2020						https://rapidreviewscovid19.mitpress.mit.edu		26924072		fulltext		MIT Press	serial								F	253915007
Rangifer (Online)	0333-256X	1890-6729	2009						http://www.ub.uit.no/baser/septentrio/index.php/rangifer/index		18906729		fulltext		Reindeer Husbandry Unit, Swedish University of Agricultural Sciences	serial								F	130216194
Psychologon (Brno)		1805-7160	2012			2021			http://www.psychologon.cz/index.php		18057160		fulltext		Masarykova univerzita, Filozofická fakulta, Psychologický ústav	serial								F	167084755
Qur̓ān va ̒ulūm-i basharī (Online)	2322-4061	2645-4106	2018						http://quraan.journals.umz.ac.ir/		26454106		fulltext		Dānishgāh-i Māzandarān	serial								F	231020708
Pubarama (Online)	2798-9976	2798-8880	2021						https://jurnalpkmibbi.org		27988880		fulltext		Lembaga Penelitian Dan Pengabdian Masyarakat, Universitas IBBI	serial								F	257237526
Revista centro azúcar	0253-5777	2223-4861	2007						http://centroazucar.uclv.edu.cu/		22234861		fulltext		Universidad Central Marta Abreu	serial								F	153915617
Pravoprimenenie (Online)	2542-1514	2658-4050	2017						https://enforcement.omsu.ru/jour		26584050		fulltext		Omskij gosudarstvennyj universitet im. F.M. Dostoevskogo	serial								F	234013419
Projeto História (Online)	0102-4442	2176-2767	1981						http://www.pucsp.br/projetohistoria/		21762767		fulltext		Pontifícia Universidade Católica de São Paulo, Departamento de HIstória, Programa de Pós-Graduação e História	serial								F	156166119
Rétor (Ciudad Autónoma de Buenos Aires)		1853-6034	2011						http://www.aaretorica.org/revista/index.php/retor		18536034		fulltext		Asociación Argentina de Retórica	serial								F	165393858
Przegląd Komunikacyjny (Online)	0033-2232	2544-6037	2011						http://www.przeglad.komunikacyjny.pwr.wroc.pl		25446037		fulltext		Stowarzyszenie Inżynierów i Techników Komunikacji Rzeczypospolitej Polskiej	serial								F	225258935
Open screens		2516-2888	2018						https://openscreensjournal.com/		25162888		fulltext		Open Library of Humanities	serial								F	233837124
Proceedings of ACIM research		2690-0262	2019						https://www.acimresearch.org/procacimres/index		26900262		fulltext		Cortical Metrics LLC	serial								F	242381383
Prosiding Seminar Nasional KBK (Online)		2798-9909	2021						http://conference.um.ac.id/index.php/mnj/issue/view/36		27989909		fulltext		Fakultas Ekonomi, Universitas Negeri Malang	serial								F	257562605
Revista Científica Cátedra (UCE-En Línea)	2528-7877	2602-8387	2016						http://akd.a1academia.com/index.php/catedra/issue/view/1		26028387		fulltext		Universidad Central del Ecuador	serial								F	224661760
Recent advancement in food science and nutrition research		2638-9770	2018						https://norcaloa.com/FSNR/archive		26389770		fulltext		NorCal Open Access Publications	serial								F	230857558
Préhistoires méditerranéennes	2118-8211	2105-2565	2010						http://journals.openedition.org/pm		21052565		fulltext	ISSN of preceding title : 3039-2926	Maison méditerranéenne des sciences de l'homme	serial								F	139420568
Naukovij časopis Ukraïnsʹkogo deržavnogo unìversitetu ìmenì Mihajla Dragomanova. Serìâ 18. Pravo (Online)	3083-5836	3083-5844	2009						http://chasopys.law.npu.kiev.ua/		30835844		fulltext	ISSN of preceding title : 2412-9135	Vidavničij dìm Gelʹvetika	serial								F	282444769
Preschool (UIN Malang)		2715-3622	2019						http://ejournal.uin-malang.ac.id/index.php/preschool		27153622		fulltext		Universitas Islam Negeri Maulana Malik Ibrahim Malang	serial								F	242388191
Proton (Online)	2086-2962	2721-2874	2009						http://publishing-widyagama.ac.id/ejournal-v2/index.php/proton		27212874		fulltext		Fakultas Teknik Universitas Widyagama Malang	serial								F	244194998
Naukovij vìsnik Mìžnarodnogo gumanìtarnogo unìversitetu. Serìâ: Ìstorìâ, fìlosofìâ, polìtologìâ (Online)	2707-0018	2707-0026	2010						http://vestnik-humanities.mgu.od.ua		27070026		fulltext		Mìžnarodnij gumanìtarnij unìversitet	serial								F	24102613X
Scripta nova		1138-9788	1997						http://www.ub.es/geocrit/nova.htm		11389788		fulltext		Universitat de Barcelona, Servei d'Informació i Publicacions	serial								F	044789327
Sarajevo business and economics review (Online)	1986-5473	2303-839X	2012						http://www.efsa.unsa.ba/ef/bs/arhiva-sber		2303839X		fulltext		Ekonomski fakultet	serial								F	189196017
Solar-terrestrial physics		2500-0535	2016						http://naukaru.ru/journal/view/Solar-Terrestrial-Physics/		25000535		fulltext		Naučno-izdatelʹskij centr INFRA-M	serial								F	194781089
Sárospataki füzetek (Online)	1416-9878	3057-9198	1857						https://acad.hu/ojs/index.php/sf/index		30579198		fulltext		Spatak. Reform. Hittud. Egy	serial								F	280273169
Rusca		2607-6780	2009						https://rusca.numerev.com/numeros		26076780		fulltext		Maison des sciences de l'homme de Montpellier	serial								F	226764818
Scientific Journal of Cahul Bogdan Petriceicu Hasdeu State University: Economic & Engineering Studies (Online) (The )	2587-3121	2587-313X	2017						http://usch.md/seria-stiinte-economice/		2587313X		fulltext	ISSN of preceding title : 2345-1882	Universitatea de Stat B. P. Hasdeu din Cahul	serial								F	20146389X
Sinergia e innovación		2306-6431	2013						http://revistas.upc.edu.pe/index.php/sinergia/index		23066431		fulltext	ISSN of preceding title : 1997-4132	Escuela de Postgrado de la Universidad Peruana de Ciencias Aplicadas	serial								F	170352684
Signifikan (Online)	2087-2046	2476-9223	2010						http://journal.uinjkt.ac.id/index.php/signifikan/index		24769223		fulltext		Fakultas Ekonomi dan Bisnis Universitas Islam Negeri Syarif Hdiyatullah Jakarta	serial								F	189953713
Ritha		3049-4060	2024						https://plchyd.ac.in		30494060		fulltext		Pendekanti Law College	serial								F	295625309
SIGn Journal of Social Science		2745-374X	2020						https://jurnal.penerbitsign.com/index.php/sjss		2745374X		fulltext		CV. Social Politic Genius (SIGn)	serial								F	249582643
Špitalʹna hìrurgìâ (Online)	1681-2778	2414-4533	2012						http://ojs.tdmu.edu.ua/index.php/surgery		24144533		fulltext		Ternopìlʹsʹkij deržavnij medičnij unìversitet ìmenì Ì.Â. Gorbačevsʹkogo	serial								F	191086312
SAARC Journal of Social Science		2583-9950	2023						https://www.pbjournals.com/sjss		25839950		fulltext		Permanent Blue	serial								F	275392511
Śląskie Sprawozdania Archeologiczne (Online)	0520-9250	2544-0888	2015						http://www.ssa.archeo.uni.wroc.pl		25440888		fulltext		Instytut Archeologii Uniwersytetu Wrocławskiego	serial								F	203188934
Sleep epidemiology		2667-3436	2021						https://www.sciencedirect.com/journal/sleep-epidemiology		26673436		fulltext		Elsevier B.V.	serial								F	257992863
Semestre económico (Puno. En línea)	2072-0572	2523-0840	2015						http://semestreeconomico.unap.edu.pe/index.php/revista/index		25230840		fulltext		Universidad Nacional del Altiplano	serial								F	219996822
Scriptura (Pécs)		2064-7646	2014						https://onszak.pte.hu/public/folyoirat		20647646		fulltext		PTE ÁJK Óriás Nándor Szakkol	serial								F	180353446
Skeletal muscle		2044-5040	2011						http://bibpurl.oclc.org/web/45120		20445040		fulltext		BioMed Central	serial								F	151649227
SECI Oncology Journal (Online)	2537-0995	2314-8500	2013						https://secioj.journals.ekb.eg		23148500		fulltext		Asiut University. South Egypt Cancer Institute	serial								F	175968721
Sağlık ve hemşirelik yönetimi dergisi (online)		2149-018X	2014						http://www.shydergisi.org		2149018X		fulltext		LOGOS YAYINCILIK TİC. A.Ş	serial								F	240163737
Revista ciencia, tecnología & sociedad		3080-5414	2024						https://revistas.unsxx.bo/index.php/RCTSXX/		30805414		fulltext	ISSN of preceding title : 3078-5251	Universidad Nacional Siglo XX	serial								F	285015044
Solidariedade & Sustentabilidade		3086-3368	2025						https://revistas.unama.br/index.php/gcinter/index		30863368		fulltext		Universidade da Amazônia – UNAMA	serial								F	296171646
Rūykardhā-yi nuvīn dar ̒ulūm-i mudīriyyat		2717-2511	2020						http://msjournal.ir/fa/		27172511		fulltext		Markaz-i muṭāli̒āt va taḥqīqāt-i ̒ulūm va funūn-i bunyādīn dar jāmi̒ah	serial								F	250475979
Revista Científica de Ingenierías y Arquitectura (Oaxaca)		3061-7154	2022						https://revistas.ulsaoaxaca.edu.mx/rcia/index		30617154		fulltext		Universidad La Salle Oaxaca A.C.	serial								F	279762720
Sistem Infrastruktur Teknik Sipil	2655-8149	2807-842X	2019						http://jurnal.usbypkp.ac.id/index.php/simteks		2807842X		fulltext		Program Studi Teknik Sipil, Fakultas Teknik, USB-YPKP	serial								F	258001224
Socialinis darbas. Patirtis ir metodai (Online)	2029-0470	2029-5820	2008						https://ejournals.vdu.lt/index.php/SWEM/en/index		20295820		fulltext		Vytauto Didžiojo universitetas	serial								F	166352128
ScienceRise (Online)	2313-6286	2313-8416	2014						http://eu-jr.eu/sciencerise		23138416		fulltext		Scientific Route	serial								F	182012689
Sexe, plante, récits		3075-7207	2023						https://spr.hypotheses.org/		30757207		fulltext		Sexe, plante, récits	serial								F	283587989
Skala (Online)	1693-959X	2775-7773	2020						http://journal.ummat.ac.id/index.php/skala		27757773		fulltext		Fakultas Teknik Universitas Muhammadiyah Mataram	serial								F	254904637
Skriftkultur		2535-7395	2019						https://press.nordicopenaccess.no/index.php/noasp/catalog/series/skriftkultur		25357395		fulltext		Nordic Open Access Scholarly Publishing	serial								F	23735389X
SciPost physics codebases		2949-804X	2022						https://scipost.org/SciPostPhysCodeb		2949804X		fulltext		SciPost Foundation	serial								F	
Tekstilec (Spletna izd.)	0351-3386	2350-3696	2000						http://www.tekstilec.si		23503696		fulltext		Založba Univerze v Ljubljani	serial								F	174866755
Türkiye klinikleri hemşirelik bilimleri (Online)	1308-092X	2146-8893	2009						http://www.turkiyeklinikleri.com/journal/hemsirelik-bilimleri-dergisi/1308-092X/tr-index.html		21468893		fulltext		Ortadoğu Reklam Tanıtım Yayıncılık	serial								F	232582025
Yunghap gwa tongseop (Online)	2635-6074	2635-8735	2018						http://www.한국안전문화연구원.kr/board15/list.asp		26358735		fulltext		Hanguganjeonmunhwayeonguwon	serial								F	234011475
Uluslararası yönetim bilişim sistemleri ve bilgisayar bilimleri dergisi		2618-5954	2017						http://dergipark.gov.tr/uybisbbd		26185954		fulltext		Adem Korkmaz	serial								F	225266415
Universitaria (Online)	2587-4071	2587-408X	2021						https://uspee.md/analele-stiintifice-uspee-constantin-stere-si-universitatii-americane-din-moldova/		2587408X		fulltext		USPEE Constantin Stere	serial								F	253913942
Türk otorinolarengoloji arşivi (Online)	2149-3987	2149-553X	2015			2019			http://www.turkarchotolaryngol.net/tr/Anasayfa		2149553X		fulltext		Türk Kulak Burun Boğaz ve Baş Boyun Cerrahisi Derneği	serial								F	196993857
University of Thi-Qar journal (Online)	2706-6894	2706-6908	2019						https://jutq.utq.edu.iq		27066908		fulltext	ISSN of preceding title : 1818-6629	University of Thi-Qar	serial								F	240302842
University of Sindh journal of information and communication technology (Online)	2521-5582	2523-1235	2017						http://sujo.usindh.edu.pk/index.php/USJICT/issue/archive		25231235		fulltext		University of Sindh	serial								F	220281149
̒Ulūm va fanāvarī-i iṭṭilā̒āt-i kishāvarzī		2645-6508	2018						http://aistj.areeo.ac.ir/		26456508		fulltext		Markaz-i fanāvarī-i iṭṭilā̒āt va iṭṭilā̒'risānī-i kishāvarzī	serial								F	240171179
Unidad sociológica		2362-1850	2014						http://unidadsociologica.com.ar/index.html		23621850		fulltext		F. L. Abiuso	serial								F	180360175
Tyndale bulletin (Online)	0082-7118	2752-7042	1966						https://tyndalebulletin.org/issues		27527042		fulltext	ISSN of preceding title : 2752-7034	Tyndale House	serial								F	257994491
SSRG international journal of electronics and communication engineering	2349-9184	2348-8549	2014						http://www.internationaljournalssrg.org/IJECE/index.html		23488549		fulltext		Seventh Sense Research Group	serial								F	178584088
Wissenschaftliche Schriftenreihe Chemnitzer Fügetechnik (Internet)	2198-6797	2198-6789	2014						http://nbn-resolving.de/urn:nbn:de:bsz:ch1-qucosa-148007		21986789		fulltext		Univ.-Verl. Chemnitz	serial								F	182746186
Vie et milieu (1980. En ligne)	0240-8759	2402-6689	2017						https://journals.sorbonne-universite.fr/Viemilieu/		24026689		fulltext	ISSN of preceding title : 0240-8759	Observatoire océanologique de Banyuls sur Mer	serial								F	276621034
UC Law science and technology journal		2997-1098	2024						https://repository.uclawsf.edu/hastings_science_technology_law_journal/		29971098		fulltext	ISSN of preceding title : 2331-835X	University of California College of the Law, San Francisco	serial								F	277331315
Wound care management		2516-8274	2018						http://www.oatext.com/Wound-Care-Management-WCM.php#Current_Issue		25168274		fulltext		Open Access Text	serial								F	22689634X
WesScholar		2332-1164							http://wesscholar.wesleyan.edu/		23321164		fulltext		[Wesleyan University]	serial								F	174861729
Vestnik za tuje jezike (Spletna izd.)	1855-8453	2350-4269	2009						https://journals.uni-lj.si/Vestnik		23504269		fulltext	ISSN of preceding title : 1581-2006	Založba Univerze v Ljubljani	serial								F	174866887
